title,category,sourceName,sourceUrl,edition,description,tags
دفتر مقررات ملی و کنترل ساختمان,منابع رسمی,دفتر مقررات ملی و کنترل ساختمان,https://inbr.ir/,آنلاین,مرجع اطلاعیه‌ها منابع آزمون و مقررات ملی ساختمان,رسمی|مقررات ملی|آزمون نظام مهندسی
مرکز تحقیقات راه مسکن و شهرسازی,منابع رسمی,مرکز تحقیقات راه مسکن و شهرسازی,https://www.bhrc.ac.ir/,آنلاین,مرجع پژوهش‌ها آیین‌نامه‌ها دستورالعمل‌ها و نشریات حوزه ساختمان و راه,رسمی|آیین‌نامه|نشریه|پژوهش
سیویل اجرا,منابع آموزشی فارسی,سیویل اجرا,https://civilejra.ir/,آنلاین,مجموعه مطالب اجرایی ابزارهای مهندسی آموزش نرم‌افزار و منابع عمران,عمران|اجرا|ابزار|آموزش|نرم‌افزار
آی‌سیویل,آزمون و آموزش,آی‌سیویل,https://icivil.ir/omran/,آنلاین,مرجع تخصصی عمران و معماری شامل مطالب و منابع آمادگی آزمون نظام مهندسی,عمران|معماری|آزمون نظام مهندسی|کلیدواژه
کتاب‌ها و منابع آی‌سیویل,کتاب و آزمون,آی‌سیویل,https://icivil.ir/book/,آنلاین,کتاب‌ها کلیدواژه‌ها و منابع آمادگی آزمون‌های مهندسی,کتاب|کلیدواژه|آزمون|عمران
عمران‌سرا,آموزش حرفه‌ای,عمران‌سرا,https://omransara.ir/,آنلاین,دوره‌ها و منابع تخصصی صنعت ساختمان آزمون نظام مهندسی و کارشناسی رسمی,عمران|محاسبات|کارشناسی رسمی|آموزش
فروشگاه کتاب عمران‌سرا,کتاب و آزمون,عمران‌سرا,https://omransara.ir/shop/books,آنلاین,کتاب‌ها و منابع تخصصی آزمون‌های حرفه‌ای مهندسی عمران,کتاب|آزمون|محاسبات|کارشناسی رسمی
خانه عمران شریف,آموزش حرفه‌ای,خانه عمران شریف,https://www.khanehomran.com/,آنلاین,دوره‌های تخصصی و حرفه‌ای مهندسی عمران اجرا نرم‌افزار و مدیریت پروژه,آموزش|اجرا|نرم‌افزار|مدیریت پروژه
دوره‌های خانه عمران,آموزش حرفه‌ای,خانه عمران شریف,https://www.khanehomran.com/course,آنلاین,دوره‌های تخصصی عمران معماری اجرا متره نرم‌افزار و کنترل پروژه,دوره|متره|اجرا|MSP|ETABS
بنیاد مهندسی ساختمان,کتاب و آزمون,بنیاد مهندسی ساختمان,https://bonyadsite.com/,آنلاین,منابع مقررات ملی کتاب‌های آزمون کلیدواژه و مطالب آموزشی صنعت ساختمان,مقررات ملی|کتاب|آزمون|آموزش
سیویلیکا,مقالات علمی,سیویلیکا,https://civilica.com/,آنلاین,پایگاه مقالات کنفرانس‌ها و پژوهش‌های علمی فارسی,مقاله|پژوهش|دانشگاه|کنفرانس
Civil 808,آموزش و رسانه,Civil 808,https://civil808.com/,آنلاین,محتوای آموزشی اخبار مهندسی و دوره‌های حوزه عمران و سازه,عمران|سازه|آموزش|رسانه
سازمان نظام مهندسی ساختمان,سازمان‌های حرفه‌ای,شورای مرکزی نظام مهندسی ساختمان,https://irceo.ir/,آنلاین,اطلاعیه‌ها خدمات و منابع حرفه‌ای جامعه مهندسی ساختمان,نظام مهندسی|پروانه اشتغال|اطلاعیه
سامانه قوانین و مقررات,قوانین و ضوابط,مرکز پژوهش‌ها و سامانه‌های قانونی,https://qavanin.ir/,آنلاین,دسترسی به قوانین و مقررات مرتبط با ساخت‌وساز قراردادها و مسئولیت حرفه‌ای,قانون|قرارداد|مسئولیت حرفه‌ای
سازمان برنامه و بودجه,نشریات فنی,سازمان برنامه و بودجه کشور,https://www.mporg.ir/,آنلاین,مرجع بخشنامه‌ها فهارس بها و نظام فنی و اجرایی کشور,فهرست بها|بخشنامه|نظام فنی اجرایی
وزارت راه و شهرسازی,اخبار و مقررات رسمی,وزارت راه و شهرسازی,https://www.mrud.ir/,آنلاین,اطلاعیه‌ها سیاست‌ها و اسناد رسمی حوزه راه مسکن شهرسازی و ساختمان,وزارت راه|شهرسازی|مسکن|رسمی
